ID,player1ID,player2ID,pokemonLostByPlayer1,pokemonLostByPlayer2,damageDealtByPlayer1,damageDealtByPlayer2
105,6,857,3,6,3,30
106,7,841,6,4,22,19
107,4,886,6,0,29,19
108,3,453,6,1,28,16
109,2,675,6,4,6,9
110,4,927,3,6,8,15
111,7,890,6,1,11,34
112,5,673,6,4,8,24
113,6,836,4,6,15,19
114,7,353,6,4,24,36
115,5,570,6,5,15,24
116,5,807,2,6,19,15
117,8,291,0,6,22,19
118,4,169,4,6,16,10
119,8,488,6,1,22,36
120,3,645,6,1,12,16
121,4,698,6,5,16,20
122,9,170,6,2,27,11
123,8,681,2,6,15,25
124,7,600,4,6,31,7
125,1,580,1,6,9,4
126,2,195,6,3,23,20
127,4,122,6,2,12,13
128,8,802,6,2,31,11
129,4,869,6,5,31,9
130,2,274,6,4,10,19
131,8,987,5,6,23,8
132,7,597,6,2,30,17
133,6,600,2,6,9,5
134,3,245,6,2,18,32
135,4,453,4,6,16,19
136,8,575,6,2,33,12
137,6,324,6,1,17,23
138,7,473,6,4,21,17
139,7,140,1,6,7,18
140,3,27,3,6,15,9
141,5,928,6,5,8,27
142,2,284,3,6,16,24
143,3,365,4,6,19,16
144,6,230,5,6,15,16
145,8,448,6,5,13,15
146,8,200,3,6,25,12
147,3,122,6,5,9,16
148,4,966,6,3,14,31
149,8,26,6,3,12,20
150,8,177,6,1,18,19
151,6,279,6,4,15,14
152,7,644,3,6,15,14
153,6,85,6,2,30,19
154,5,708,5,6,15,26
155,8,822,4,6,25,12
156,7,5,3,6,22,13
157,5,949,3,6,30,17
158,8,252,6,0,13,22
159,3,865,6,3,27,24
160,3,17,6,3,16,22
161,6,810,5,6,18,3
162,5,882,5,6,9,19
163,3,195,6,4,16,16
164,5,885,6,0,16,3
165,4,158,6,5,8,17
166,4,823,6,2,20,9
167,8,926,6,2,12,31
168,5,956,4,6,9,21
169,5,88,6,1,12,15
170,3,874,3,6,24,9
171,2,795,6,2,12,17
172,9,18,6,4,19,28
173,7,357,6,0,12,3
174,4,762,1,6,28,11
175,3,494,6,3,31,11
176,5,957,6,2,24,19
177,4,982,2,6,22,31
178,3,115,2,6,9,10
179,4,214,6,5,20,30
180,3,111,1,6,10,17
181,1,801,2,6,20,26
182,7,304,0,6,17,32
183,3,517,6,2,22,22
184,6,501,6,0,19,17
185,4,849,6,5,32,7
186,1,135,3,6,21,7
187,4,14,4,6,7,32
188,7,882,2,6,15,10
189,5,758,6,1,21,22
190,4,568,6,1,16,11
191,8,581,1,6,25,21
192,6,988,6,5,20,15
193,5,119,6,3,10,19
194,3,390,1,6,10,21
195,2,323,6,4,3,17
196,4,507,6,4,21,18
197,5,437,2,6,23,30
198,5,6,6,2,13,13
199,3,762,6,0,22,20
200,4,242,6,5,9,20
201,9,46,6,3,16,16
202,6,11,1,6,22,12
203,8,33,3,6,9,10
204,5,514,1,6,27,15
205,7,916,4,6,24,26
206,7,46,1,6,11,29
207,7,21,6,5,13,20
208,4,878,6,0,20,16
209,4,49,6,0,22,15
210,7,730,6,4,31,18
211,5,90,6,0,22,19
212,8,610,4,6,7,24
213,7,50,6,3,19,27
214,7,76,6,4,29,24
215,7,798,4,6,4,22
216,7,54,0,6,9,12
217,6,906,5,6,7,20
218,4,804,6,2,25,4
219,7,769,5,6,21,24
220,4,392,6,2,24,19
221,7,664,6,5,23,26
222,6,261,6,2,16,7
223,3,386,2,6,24,8
224,9,472,6,4,12,18
225,6,359,4,6,15,27
226,8,940,6,3,23,13
227,7,144,6,3,31,16
228,3,369,6,4,25,18
229,6,972,3,6,14,21
230,9,473,6,3,25,18
231,6,707,4,6,16,12
232,3,424,6,1,16,16
233,9,473,6,2,24,24
234,9,269,6,3,20,20
235,10,493,0,6,24,30
236,7,961,3,6,11,22
237,4,799,4,6,12,18
238,10,131,0,6,27,8
239,7,53,6,4,25,22
240,5,287,6,3,18,18
241,5,654,4,6,12,11
242,4,572,3,6,22,3
243,5,236,6,4,17,10
244,4,320,6,5,31,14
245,3,24,6,0,19,28
246,7,405,4,6,25,17
247,6,167,1,6,22,28
248,3,412,6,0,10,21
249,8,433,6,1,20,10
250,5,330,5,6,8,15
251,5,92,6,5,18,11
252,9,803,6,3,15,10
253,4,583,6,4,23,16
254,5,784,4,6,24,16
255,2,940,6,4,16,10
256,8,231,2,6,25,14
257,5,396,0,6,18,12
258,8,516,4,6,12,28
259,1,624,2,6,24,17
260,6,685,5,6,20,16
261,5,858,2,6,15,16
262,5,111,0,6,29,33
263,7,291,6,3,9,11
264,6,617,6,0,28,19
265,2,135,3,6,18,22
266,5,650,6,4,6,12
267,5,229,4,6,13,19
268,4,379,5,6,13,15
269,7,652,1,6,7,6
270,6,254,0,6,20,21
271,4,875,6,3,22,20
272,5,952,6,3,13,21
273,6,617,6,1,23,9
274,6,293,1,6,19,11
275,2,43,5,6,6,19
276,6,887,2,6,23,12
277,7,57,0,6,5,24
278,6,816,0,6,16,12
279,3,473,6,2,13,15
280,2,782,4,6,4,12
281,8,704,6,0,21,27
282,10,158,6,5,11,24
283,2,281,6,5,18,16
284,9,369,6,1,8,22
285,7,929,3,6,18,14
286,3,560,1,6,15,23
287,3,956,2,6,13,9
288,5,819,2,6,9,10
289,4,279,6,2,23,12
290,3,702,6,2,12,15
291,6,743,6,0,22,17
292,4,473,6,1,23,35
293,6,753,4,6,25,7
294,5,372,6,1,30,12
295,7,503,5,6,12,14
296,6,724,3,6,12,30
297,3,99,6,2,7,19
298,6,772,6,2,15,18
299,3,918,6,0,9,10
300,9,959,6,3,14,19
301,8,862,2,6,17,15
302,7,632,5,6,21,7
303,6,854,6,2,21,22
304,4,712,6,0,16,21
305,2,334,6,0,22,17
306,6,25,6,2,22,9
307,6,928,0,6,17,17
308,5,310,6,5,19,26
309,8,267,6,1,16,28
310,6,809,6,2,21,7
311,6,53,6,2,22,27
312,5,312,0,6,24,11
313,5,700,6,1,11,10
314,3,668,6,1,22,27
315,8,93,6,1,27,29
316,8,296,6,4,28,30
317,4,924,1,6,18,25
318,6,488,4,6,28,18
319,5,278,3,6,4,18
320,3,177,6,5,7,11
321,5,324,6,5,6,24
322,7,221,4,6,15,17
323,6,255,2,6,7,27
324,9,354,6,2,6,31
325,6,194,0,6,7,20
326,5,987,6,4,22,15
327,9,23,6,3,22,6
328,6,411,6,2,17,11
329,8,738,6,4,27,16
330,4,163,6,2,12,17
331,7,666,6,4,5,15
332,9,758,6,2,18,30
333,4,11,1,6,16,18
334,5,9,6,0,29,10
335,3,615,6,0,16,33
336,8,536,2,6,29,30
337,8,238,5,6,15,24
338,6,996,1,6,28,13
339,8,20,5,6,14,15
340,4,86,6,1,23,16
341,6,403,6,5,15,22
342,6,368,6,3,4,21
343,6,421,0,6,12,9
344,6,876,3,6,20,12
345,6,70,4,6,18,13
346,5,211,3,6,12,26
347,2,766,6,0,31,22
348,4,732,6,1,19,16
349,6,925,1,6,29,27
350,6,599,3,6,27,28
351,4,777,1,6,3,20
352,9,255,6,0,31,24
353,5,486,6,0,16,16
354,7,222,6,3,22,18
355,2,708,6,5,27,17
356,7,794,4,6,11,24
357,6,511,4,6,27,21
358,5,310,6,1,18,22
359,3,491,6,1,19,22
360,6,241,6,5,25,6
361,6,225,6,2,16,12
362,1,662,1,6,21,17
363,7,878,6,5,27,19
364,2,68,6,5,28,33
365,8,618,6,5,24,32
366,6,166,3,6,7,23
367,5,740,6,4,20,23
368,7,148,6,0,12,7
369,6,831,3,6,19,23
370,4,852,4,6,30,12
371,10,743,6,0,19,21
372,5,520,1,6,16,21
373,2,754,4,6,26,15
374,3,651,6,4,21,16
375,4,380,6,3,16,22
376,4,830,6,2,9,8
377,8,970,5,6,18,22
378,4,908,6,3,12,17
379,3,440,6,5,12,15
380,7,628,3,6,7,21
381,7,763,6,2,15,9
382,4,17,6,2,29,11
383,7,281,3,6,27,11
384,4,412,1,6,31,22
385,6,350,6,0,15,23
386,6,926,4,6,21,16
387,3,209,6,3,24,9
388,3,763,6,4,9,22
389,5,317,6,0,20,20
390,5,293,6,0,6,23
391,3,367,6,5,3,15
392,3,131,6,3,15,18
393,4,269,6,4,13,24
394,3,504,6,2,22,15
395,5,71,2,6,27,17
396,4,821,6,2,24,26
397,7,765,0,6,15,21
398,5,431,6,1,12,31
399,7,15,5,6,28,28
400,5,882,5,6,12,31
401,7,575,3,6,13,30
402,7,154,6,3,27,12
403,4,338,6,4,11,28
404,4,32,6,4,9,13
405,4,245,1,6,17,15
406,4,704,6,3,12,17
407,2,159,6,2,18,24
408,5,446,6,0,18,26
409,5,193,6,0,9,24
410,5,538,6,3,27,16
411,6,18,5,6,12,15
412,10,95,3,6,22,23
413,3,923,3,6,24,22
414,2,771,6,0,8,21
415,6,436,6,5,24,22
416,6,118,6,4,13,31
417,3,960,6,4,21,29
418,3,436,6,3,22,27
419,8,338,6,0,21,22
420,5,298,5,6,15,22
421,5,101,6,2,21,20
422,3,25,1,6,21,15
423,10,400,1,6,19,25
424,5,371,3,6,16,20
425,7,1,6,5,6,34
426,4,576,6,5,24,29
427,7,261,4,6,19,13
428,6,219,4,6,26,16
429,6,299,6,0,22,23
430,6,451,1,6,33,18
431,8,117,4,6,22,11
432,7,439,6,5,27,18
433,3,415,3,6,21,15
434,6,720,6,0,25,6
435,2,428,6,0,19,18
436,7,251,4,6,14,23
437,3,117,6,0,13,27
438,9,26,1,6,25,11
439,10,66,4,6,29,17
440,4,104,6,5,22,18
441,3,544,6,4,9,12
442,7,266,6,5,13,25
443,4,41,6,4,28,15
444,7,915,6,1,13,23
445,5,713,6,4,12,12
446,3,455,6,1,27,13
447,2,230,6,5,13,10
448,4,752,6,4,30,25
449,8,480,6,0,19,25
450,4,44,6,0,19,19
451,10,61,5,6,27,15
452,4,160,6,0,19,3
453,5,6,2,6,24,14
454,5,880,6,2,29,12
455,2,300,6,1,10,25
456,3,348,6,1,21,21
457,5,412,1,6,14,15
458,3,745,6,1,15,33
459,4,125,6,1,11,18
460,2,700,3,6,4,24
461,8,394,3,6,28,12
462,7,480,6,0,16,9
463,4,814,6,5,20,15
464,8,465,4,6,9,29
465,6,974,2,6,16,17
466,6,120,0,6,23,15
467,8,645,4,6,24,24
468,4,120,1,6,22,18
469,10,655,0,6,28,24
470,5,550,3,6,14,3
471,6,785,2,6,19,14
472,5,966,6,1,11,3
473,3,895,6,3,9,22
474,8,604,6,3,31,34
475,2,747,6,0,26,16
476,2,192,5,6,21,23
477,7,386,6,5,24,9
478,2,816,6,0,12,6
479,1,425,6,0,26,20
480,6,273,4,6,25,20
481,4,818,5,6,19,9
482,4,210,6,3,27,19
483,7,543,3,6,26,13
484,6,14,0,6,25,7
485,6,757,4,6,20,25
486,4,367,5,6,15,24
487,5,234,6,4,13,18
488,8,444,6,2,19,27
489,7,795,6,1,24,25
490,3,985,6,0,21,12
491,8,418,5,6,21,15
492,7,826,6,2,18,21
493,2,807,6,0,15,9
494,5,96,6,1,23,10
495,5,350,5,6,29,18
496,5,341,0,6,3,8
497,8,972,6,5,18,18
498,4,263,0,6,22,9
499,4,463,6,3,6,24
500,2,896,6,0,22,17
501,7,258,6,1,28,24
502,9,435,6,2,19,17
503,7,310,6,2,27,12
504,2,728,6,0,27,20
505,7,669,0,6,15,15
506,5,505,6,0,24,22
507,3,147,6,0,13,22
508,4,428,3,6,7,24
509,10,591,3,6,14,11
510,2,960,6,0,29,10
511,10,97,2,6,24,26
512,5,972,6,3,7,25
513,4,598,6,4,22,16
514,4,613,6,1,26,18
515,3,71,6,4,6,32
516,3,144,6,2,19,18
517,9,387,6,0,22,12
518,4,369,6,0,10,21
519,10,555,3,6,20,16
520,2,707,6,0,22,22
521,5,371,6,0,22,12
522,3,404,0,6,13,10
523,10,705,2,6,19,28
524,5,957,6,4,12,25
525,3,216,6,2,12,30
526,5,582,6,0,30,9
527,5,714,3,6,21,25
528,2,595,6,4,7,8
529,8,787,5,6,20,19
530,2,198,6,3,18,24
531,3,35,6,5,24,25
532,4,364,0,6,12,31
533,5,625,3,6,25,19
534,7,787,6,3,4,25
535,5,176,6,1,13,16
536,5,106,6,5,17,26
537,8,934,6,2,29,21
538,3,582,6,5,22,10
539,9,632,6,2,12,13
540,7,918,6,4,20,25
541,4,478,6,1,12,6
542,3,407,2,6,18,18
543,8,595,5,6,16,13
544,3,328,6,3,13,19
545,8,453,6,0,12,31
546,7,724,0,6,12,36
547,3,412,6,4,15,7
548,4,319,6,3,12,6
549,10,734,4,6,13,15
550,5,881,4,6,12,15
551,5,458,6,0,19,13
552,4,113,6,2,24,31
553,6,534,6,3,14,18
554,6,1,6,5,18,23
555,9,133,5,6,19,13
556,10,651,1,6,5,22
557,4,259,2,6,7,19
558,3,922,6,4,7,24
559,2,673,6,2,19,25
560,4,260,6,3,10,13
561,3,736,6,4,13,19
562,4,172,5,6,26,15
563,5,973,6,0,24,25
564,4,312,4,6,23,25
565,9,426,6,1,23,16
566,6,525,0,6,23,16
567,5,219,4,6,24,14
568,6,519,3,6,24,10
569,8,641,2,6,19,15
570,6,864,6,1,33,13
571,7,67,6,3,8,22
572,5,339,0,6,24,7
573,2,958,6,5,27,16
574,7,825,6,2,27,20
575,4,139,6,2,25,21
576,8,572,0,6,19,29
577,8,90,6,4,13,24
578,6,312,1,6,21,25
579,5,333,1,6,32,9
580,8,211,4,6,16,27
581,8,137,0,6,11,22
582,5,252,2,6,24,10
583,7,30,6,4,31,21
584,3,15,6,3,24,15
585,1,949,0,6,5,19
586,6,498,0,6,11,19
587,7,985,6,3,19,10
588,4,129,6,1,13,13
589,3,119,6,5,12,26
590,5,90,3,6,7,20
591,4,770,4,6,24,3
592,4,192,5,6,17,5
593,5,580,0,6,15,21
594,2,999,6,1,25,9
595,5,92,6,2,27,16
596,7,94,4,6,22,15
597,4,36,6,2,22,12
598,4,278,4,6,7,23
599,9,908,6,5,10,19
600,6,54,6,4,7,14
601,9,770,5,6,21,18
602,3,37,6,4,24,18
603,7,144,6,5,18,18
604,7,195,6,5,19,11
605,1,236,3,6,23,21
606,5,71,6,0,14,25
607,5,30,6,0,15,18
608,8,191,6,2,25,7
609,5,728,5,6,18,26
610,1,963,2,6,10,18
611,8,344,6,3,18,22
612,8,712,1,6,24,9
613,2,695,2,6,27,22
614,3,964,4,6,9,18
615,6,599,6,2,28,14
616,6,901,3,6,21,10
617,6,233,3,6,23,28
618,5,687,2,6,14,8
619,10,600,4,6,14,8
620,6,442,4,6,25,25
621,7,743,6,1,24,13
622,8,536,6,1,16,18
623,7,561,6,3,20,24
624,5,516,2,6,20,15
625,3,323,6,3,6,22
626,4,96,6,5,25,21
627,3,931,6,4,22,14
628,4,388,6,0,24,15
629,4,372,6,0,7,19
630,4,449,6,5,20,12
631,6,489,6,1,24,19
632,3,148,6,0,21,32
633,2,7,6,5,24,17
634,8,774,1,6,13,24
635,5,664,6,5,15,20
636,6,883,6,0,19,20
637,5,185,5,6,10,8
638,5,300,6,5,6,19
639,4,722,6,1,17,20
640,5,527,6,3,18,21
641,6,775,6,1,22,28
642,2,240,6,3,17,14
643,4,655,6,3,19,20
644,4,380,6,2,12,16
645,4,710,6,1,7,15
646,10,957,4,6,25,18
647,5,784,1,6,12,16
648,6,353,6,3,21,12
649,8,286,6,1,21,37
650,10,467,6,1,9,15
651,3,114,6,3,18,32
652,4,336,5,6,24,27
653,8,217,3,6,18,5
654,7,922,6,5,10,19
655,8,968,4,6,12,22
656,8,409,6,3,11,12
657,5,51,6,0,29,28
658,7,233,6,2,31,28
659,3,723,6,0,19,12
660,4,236,6,3,23,15
661,8,702,3,6,16,32
662,6,142,6,2,27,19
663,5,382,0,6,18,16
664,4,291,0,6,12,8
665,10,819,5,6,10,21
666,8,423,5,6,12,20
667,1,479,2,6,13,18
668,5,564,2,6,15,17
669,6,942,0,6,22,14
670,6,306,4,6,30,18
671,6,391,0,6,30,16
672,5,202,5,6,32,16
673,5,618,2,6,12,23
674,6,995,3,6,18,18
675,2,933,2,6,15,19
676,10,168,5,6,31,25
677,5,633,6,3,26,25
678,8,579,1,6,17,12
679,7,742,6,2,16,14
680,6,797,0,6,24,15
681,1,935,5,6,26,20
682,4,795,3,6,6,15
683,5,598,6,4,13,13
684,10,74,0,6,18,13
685,7,499,1,6,16,23
686,1,577,1,6,14,19
687,3,308,6,1,9,22
688,9,593,6,2,21,12
689,3,87,6,1,19,25
690,3,86,0,6,12,14
691,3,265,6,4,19,19
692,6,46,2,6,24,20
693,10,989,5,6,24,20
694,6,66,6,5,15,17
695,4,512,6,0,20,25
696,5,347,5,6,13,15
697,5,378,5,6,18,6
698,5,880,6,4,15,19
699,7,667,5,6,12,16
700,4,394,6,1,8,22
701,8,877,2,6,30,17
702,3,228,6,1,13,24
703,7,705,6,2,11,28
704,3,778,6,5,22,21
705,10,231,6,1,11,11
706,8,891,6,3,12,22
707,6,184,6,3,12,25
708,5,47,6,0,21,16
709,4,327,6,3,15,21
710,6,965,6,0,23,14
711,6,862,4,6,26,18
712,6,728,0,6,18,27
713,7,287,0,6,9,10
714,2,882,3,6,19,19
715,1,901,0,6,5,27
716,5,236,6,4,13,28
717,5,576,6,2,8,25
718,3,736,6,0,24,20
719,3,698,6,3,10,14
720,3,369,6,3,28,11
721,4,366,6,5,18,26
722,5,590,6,1,18,9
723,6,60,2,6,31,25
724,3,688,6,2,24,27
725,3,167,0,6,18,15
726,5,282,6,2,16,15
727,3,279,6,3,13,21
728,7,141,6,5,16,19
729,10,939,6,3,11,17
730,5,249,6,2,21,15
731,4,571,6,3,18,7
732,6,776,1,6,21,3
733,9,52,2,6,14,18
734,8,317,1,6,5,25
735,1,319,5,6,25,7
736,6,217,5,6,26,16
737,6,323,6,4,30,32
738,3,458,6,1,3,9
739,10,574,3,6,21,16
740,7,526,2,6,23,15
741,10,407,2,6,20,12
742,4,691,6,3,11,17
743,6,610,6,2,10,20
744,7,270,4,6,27,22
745,4,426,6,3,17,22
746,6,370,3,6,15,12
747,5,144,3,6,23,19
748,4,97,6,1,6,21
749,6,813,2,6,22,15
750,2,750,6,1,12,26
751,5,128,6,1,33,10
752,6,534,5,6,17,18
753,7,625,6,4,9,15
754,5,223,6,5,13,21
755,7,272,0,6,15,25
756,8,457,3,6,14,15
757,6,502,2,6,31,13
758,4,954,6,5,30,23
759,6,794,6,5,12,21
760,3,570,6,3,12,15
761,3,681,6,0,16,21
762,8,560,1,6,23,24
763,5,19,4,6,16,26
764,5,235,0,6,13,19
765,7,908,0,6,9,16
766,4,844,6,1,13,14
767,4,689,6,5,15,19
768,1,766,5,6,22,24
769,10,988,6,4,26,19
770,1,30,0,6,28,27
771,6,701,0,6,18,22
772,5,100,6,1,15,20
773,2,872,0,6,18,23
774,1,357,4,6,10,12
775,6,990,3,6,8,30
776,8,994,6,0,18,14
777,5,891,6,0,18,34
778,8,683,1,6,20,21
779,4,48,6,3,22,18
780,6,922,1,6,25,26
781,7,4,1,6,5,27
782,4,44,6,3,9,13
783,5,13,4,6,7,28
784,9,70,6,5,17,20
785,5,489,6,0,9,25
786,9,132,6,1,25,31
787,2,126,6,1,16,13
788,4,618,6,0,29,21
789,5,664,6,2,25,15
790,1,321,6,3,21,22
791,8,149,1,6,22,3
792,8,502,2,6,15,30
793,5,51,6,5,21,32
794,5,786,6,0,22,20
795,5,923,1,6,24,10
796,6,452,6,4,23,14
797,6,44,1,6,21,23
798,8,731,1,6,17,6
799,6,248,6,0,13,19
800,6,716,0,6,32,32
801,6,835,6,3,15,18
802,6,246,6,2,18,19
803,5,531,4,6,18,20
804,6,4,4,6,22,5
805,3,387,1,6,6,16
806,5,764,5,6,20,13
807,2,567,6,4,18,23
808,6,428,6,3,12,4
809,8,784,4,6,19,17
810,7,458,6,0,21,25
811,5,243,6,2,18,24
812,5,447,3,6,11,9
813,6,37,4,6,24,15
814,7,449,6,0,18,9
815,6,273,1,6,18,28
816,10,720,0,6,3,25
817,3,243,1,6,13,21
818,4,756,4,6,28,11
819,1,470,3,6,12,13
820,4,826,6,3,21,23
821,5,337,6,5,22,16
822,2,415,6,0,11,22
823,6,855,0,6,18,27
824,6,861,6,3,31,11
825,8,51,3,6,31,24
826,7,695,0,6,16,22
827,10,635,6,4,17,28
828,4,350,6,3,9,13
829,4,401,2,6,22,31
830,9,520,6,4,25,27
831,6,858,4,6,6,13
832,8,354,6,1,27,15
833,8,755,3,6,19,23
834,2,810,6,1,29,16
835,3,406,2,6,22,9
836,4,923,6,4,14,15
837,3,366,1,6,19,21
838,3,753,6,0,9,9
839,7,545,1,6,13,32
840,5,772,2,6,23,14
841,10,818,6,1,17,6
842,4,382,6,2,10,19
843,3,602,6,4,27,3
844,7,740,6,4,11,14
845,7,733,6,5,13,18
846,4,722,0,6,25,20
847,8,559,1,6,24,26
848,6,767,2,6,19,24
849,7,541,6,3,26,24
850,7,977,6,0,14,18
851,7,630,5,6,14,25
852,7,801,6,5,20,32
853,4,968,6,1,9,25
854,6,826,1,6,24,21
855,5,53,6,1,6,22
856,7,88,6,0,24,25
857,4,918,3,6,22,23
858,6,17,6,0,19,13
859,10,136,1,6,38,9
860,4,657,6,2,17,19
861,3,281,6,4,19,24
862,5,434,0,6,27,26
863,2,389,6,3,18,28
864,7,865,3,6,10,10
865,5,220,6,1,30,12
866,3,811,6,4,28,21
867,4,534,6,0,17,13
868,6,619,2,6,11,12
869,6,807,3,6,30,26
870,8,382,6,3,16,22
871,9,7,6,3,13,17
872,8,81,1,6,15,17
873,3,705,6,3,18,27
874,6,726,1,6,16,20
875,9,378,6,2,11,32
876,5,990,3,6,16,12
877,3,908,6,4,18,30
878,9,432,4,6,19,9
879,5,688,1,6,6,30
880,6,208,6,1,18,18
881,8,906,2,6,21,18
882,6,599,6,1,10,25
883,3,825,6,0,12,22
884,3,854,5,6,10,22
885,2,830,6,1,18,11
886,6,202,3,6,33,18
887,6,122,3,6,33,13
888,4,362,6,0,21,29
889,6,408,4,6,24,24
890,5,915,3,6,21,18
891,9,839,6,2,25,15
892,6,427,0,6,29,30
893,5,151,6,0,22,7
894,9,902,6,5,14,23
895,4,368,6,4,17,29
896,5,682,6,5,23,16
897,6,323,2,6,18,11
898,6,227,3,6,19,19
899,2,841,6,2,14,6
900,8,407,0,6,21,16
901,6,618,2,6,19,12
902,1,730,1,6,31,16
903,2,447,6,1,23,12
904,8,438,6,0,8,26
905,5,846,2,6,10,10
906,10,779,2,6,26,28
907,5,84,6,0,15,18
908,3,197,6,4,18,27
909,7,440,6,5,10,9
910,7,493,0,6,3,30
911,5,192,0,6,21,13
912,2,383,6,1,25,14
913,6,579,2,6,24,29
914,4,720,2,6,18,22
915,9,568,6,4,9,16
916,6,401,3,6,20,10
917,6,715,2,6,15,6
918,5,757,1,6,7,18
919,2,657,2,6,3,24
920,6,37,3,6,18,16
921,10,623,6,2,18,24
922,6,285,0,6,21,26
923,6,839,4,6,15,21
924,5,932,6,3,18,19
925,5,314,6,0,18,9
926,6,572,2,6,30,4
927,4,902,1,6,7,22
928,7,124,6,5,30,8
929,3,459,6,5,16,28
930,5,558,6,5,21,4
931,3,676,6,4,16,23
932,7,124,6,3,27,13
933,8,800,5,6,19,25
934,5,200,5,6,10,24
935,6,140,5,6,7,24
936,4,836,6,5,18,3
937,8,504,6,1,23,20
938,6,207,5,6,19,23
939,1,427,2,6,14,15
940,5,71,6,5,16,10
941,6,497,2,6,31,24
942,2,168,6,2,23,22
943,6,67,6,1,27,16
944,6,646,3,6,3,15
945,5,853,6,3,21,28
946,5,275,6,1,18,32
947,3,835,6,4,16,12
948,2,548,6,5,20,15
949,8,866,6,0,13,25
950,5,758,6,2,19,18
951,4,428,6,1,30,11
952,10,948,0,6,16,14
953,6,856,5,6,12,13
954,4,600,6,4,22,15
955,8,440,1,6,12,17
956,4,673,6,3,13,27
957,4,617,0,6,14,8
958,5,42,5,6,8,16
959,5,818,2,6,15,27
960,4,740,6,1,12,10
961,4,560,4,6,17,12
962,2,795,6,1,25,18
963,8,818,6,5,30,20
964,2,538,6,4,17,16
965,2,27,5,6,21,15
966,4,94,4,6,21,19
967,2,249,6,3,15,18
968,8,732,4,6,13,18
969,1,837,6,5,18,7
970,7,429,0,6,27,22
971,5,297,6,5,30,6
972,7,60,6,0,21,32
973,5,928,6,1,17,24
974,5,158,6,1,11,16
975,3,188,5,6,19,20
976,7,646,3,6,13,32
977,8,598,3,6,26,34
978,2,600,5,6,10,30
979,4,596,6,2,10,24
980,4,19,6,1,28,6
981,8,296,6,1,8,22
982,6,573,2,6,20,7
983,4,822,3,6,10,3
984,5,99,6,2,20,21
985,3,602,6,2,12,21
986,4,551,6,5,16,28
987,7,139,6,2,6,20
988,9,815,6,0,28,29
989,6,58,6,3,17,25
990,4,413,6,4,6,20
991,9,573,6,1,13,31
